source_date,source_time,dataset,instrument,surface,tenor,metric,value,unit,source_url,retrieved_at_utc,raw_sha256,attributes_json
2026-08-28,,implied_rates,USD,,18M,implied_usd_rate,4.1565,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4658"", ""即期汇率"": ""6.7811"", ""期限"": ""18M"", ""远/掉期点(Pips)"": ""-2680.00"", ""隐含利率(%)"": ""4.1565""}"
2026-08-28,,implied_rates,USD,,1D,implied_usd_rate,3.9064,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4142"", ""即期汇率"": ""6.7811"", ""期限"": ""1D"", ""远/掉期点(Pips)"": ""-4.63"", ""隐含利率(%)"": ""3.9064""}"
2026-08-28,,implied_rates,USD,,1M,implied_usd_rate,3.9059,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4443"", ""即期汇率"": ""6.7811"", ""期限"": ""1M"", ""远/掉期点(Pips)"": ""-169.00"", ""隐含利率(%)"": ""3.9059""}"
2026-08-28,,implied_rates,USD,,1W,implied_usd_rate,3.9056,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4360"", ""即期汇率"": ""6.7811"", ""期限"": ""1W"", ""远/掉期点(Pips)"": ""-32.11"", ""隐含利率(%)"": ""3.9056""}"
2026-08-28,,implied_rates,USD,,1Y,implied_usd_rate,4.1167,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4628"", ""即期汇率"": ""6.7811"", ""期限"": ""1Y"", ""远/掉期点(Pips)"": ""-1776.00"", ""隐含利率(%)"": ""4.1167""}"
2026-08-28,,implied_rates,USD,,2M,implied_usd_rate,3.936,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4478"", ""即期汇率"": ""6.7811"", ""期限"": ""2M"", ""远/掉期点(Pips)"": ""-286.00"", ""隐含利率(%)"": ""3.9360""}"
2026-08-28,,implied_rates,USD,,2M,implied_usd_rate,3.9360,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T09:25:18+00:00,ab6b68adef12d1bfa034157ce64a4d3ab46e89d3,"{""人民币利率(%)"":""1.4478"",""即期汇率"":""6.7811"",""期限"":""2M"",""远/掉期点(Pips)"":""-286.00"",""隐含利率(%)"":""3.9360""}"
2026-08-28,,implied_rates,USD,,2W,implied_usd_rate,3.8931,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4410"", ""即期汇率"": ""6.7811"", ""期限"": ""2W"", ""远/掉期点(Pips)"": ""-63.75"", ""隐含利率(%)"": ""3.8931""}"
2026-08-28,,implied_rates,USD,,2Y,implied_usd_rate,4.1734,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4691"", ""即期汇率"": ""6.7811"", ""期限"": ""2Y"", ""远/掉期点(Pips)"": ""-3575.00"", ""隐含利率(%)"": ""4.1734""}"
2026-08-28,,implied_rates,USD,,3M,implied_usd_rate,3.9601,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4503"", ""即期汇率"": ""6.7811"", ""期限"": ""3M"", ""远/掉期点(Pips)"": ""-423.00"", ""隐含利率(%)"": ""3.9601""}"
2026-08-28,,implied_rates,USD,,3W,implied_usd_rate,3.8906,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4411"", ""即期汇率"": ""6.7811"", ""期限"": ""3W"", ""远/掉期点(Pips)"": ""-95.50"", ""隐含利率(%)"": ""3.8906""}"
2026-08-28,,implied_rates,USD,,3Y,implied_usd_rate,4.2085,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4897"", ""即期汇率"": ""6.7811"", ""期限"": ""3Y"", ""远/掉期点(Pips)"": ""-5330.00"", ""隐含利率(%)"": ""4.2085""}"
2026-08-28,,implied_rates,USD,,6M,implied_usd_rate,4.0396,pct,https://www.chinamoney.com.cn/chinese/bkcurvuir/,2026-08-28T20:57:01+00:00,7bf47ecc657bf29f2fa1916a6bdadc02cbecd1e2a56793d371b15b1268542d4e,"{""人民币利率(%)"": ""1.4633"", ""即期汇率"": ""6.7811"", ""期限"": ""6M"", ""远/掉期点(Pips)"": ""-860.80"", ""隐含利率(%)"": ""4.0396""}"
